""""",""code_muni"",""name_muni"",""TxMFAG23"",""TxMNDC23"",""TxMPADR23"",""TxMMVP23"",""TxMPMDPNN23"",""TxMCEPP23"",""TxFNM23"",""TxMAT23"",""TxMLAP23"",""TxMDAF23"",""PMDCv23"",""PMCMD23"""
"""11"",3300605,""Bom Jesus do Itabapoana"",25.999688003744,1.95694716242661,150.684931506849,51.1178670397374,3.91389432485323,24.2137264925072,83.1990016119807,13.4520702736151,2.69041405472302,5.38082810944604,1,0"
"""12"",3300704,""Cabo Frio"",35.3101545435136,0.393700787401575,72.4409448818898,51.8855286157196,7.08661417322835,33.1727150166076,107.572796400007,8.50582436323272,3.82762096345473,19.5633960354353,1,0"
"""13"",3300803,""Cachoeiras de Macacu"",32.9424166556859,0,116.86143572621,41.8865711652844,3.33889816360601,50.2638853983413,118.592699960469,25.1319426991706,11.7282399262796,26.807405545782,1,0"
"""14"",3300902,""Cambuci"",119.157950483252,0,130.769230769231,79.4596742153357,0,19.8649185538339,185.356811862836,13.2432790358893,6.62163951794464,6.62163951794464,0,0"
"""15"",3300936,""Carapebus"",1.86031975175893,0,100,0.773736295195871,14.2857142857143,1.54747259039174,2.97651160281429,1.35403851659277,0.193434073798968,0.773736295195871,0,0"
"""16"",3300951,""Comendador Levy Gasparian"",9.78760888714887,0,72.0720720720721,39.9042298483639,36.036036036036,4.98802873104549,68.5132622100421,4.98802873104549,0,0,1,0"
"""17"",3301009,""Campos dos Goytacazes"",1607.21838432257,0.319897632757518,101.727447216891,2586.68903803132,8.95713371721049,1237.41610738255,4708.86789792753,755.03355704698,258.668903803132,803.970917225951,1,0"
"""18"",3301108,""Cantagalo"",103.443180138909,0,112.14953271028,82.2306944755924,4.67289719626168,29.9020707183973,192.108763115117,14.9510353591986,14.9510353591986,0,1,0"
"""19"",3301157,""Cardoso Moreira"",54.9390176903637,0,148.148148148148,67.5219446320054,14.8148148148148,16.8804861580014,65.9268212284364,16.8804861580014,11.2536574386676,0,1,0"
"""20"",3301207,""Carmo"",4.06371911573472,0,147.783251231527,35.6955380577428,4.92610837438424,8.3989501312336,32.5097529258778,0,4.1994750656168,2.0997375328084,1,0"
"""21"",3301306,""Casimiro de Abreu"",107.319167203263,0,51.2820512820513,343.98579671549,5.91715976331361,155.348424323125,643.915003219575,44.3852640923213,11.0963160230803,77.6742121615624,0,0"
"""22"",3301405,""Conceição de Macabu"",54.4316429284224,0,96.9162995594714,45.8799779776106,13.215859030837,32.1159845843274,127.007166832986,0,18.3519911910442,18.3519911910442,1,0"
"""23"",3301504,""Cordeiro"",35.6315695706396,0,64.7773279352227,37.30821247027,8.09716599190283,13.9905796763513,124.710493497239,13.9905796763513,13.9905796763513,9.3270531175675,1,0"
"""24"",3301603,""Duas Barras"",17.4398325776073,0,61.4035087719298,52.8308532182795,8.7719298245614,26.4154266091397,174.398325776073,17.6102844060932,35.2205688121863,0,1,0"
"""25"",3301702,""Duque de Caxias"",40.3049964980905,0.191113234591495,72.6230291447683,59.2376255355495,7.83564261825131,47.2982591485395,128.843841264388,6.31408799313027,4.70686559487893,12.9725807858858,1,0"
"""26"",3301801,""Engenheiro Paulo de Frontin"",90.6070673512534,0,147.058823529412,78.7339579560664,7.35294117647059,15.7467915912133,226.517668378133,7.87339579560664,0,15.7467915912133,1,0"
"""27"",3301850,""Guapimirim"",43.2416849843249,0,87.893864013267,53.3853687272192,13.2669983416252,34.976620890247,108.104212460812,25.772246971761,5.52262435109164,25.772246971761,1,0"
"""28"",3301876,""Iguaba Grande"",52.2875816993464,3.02114803625378,102.719033232628,27.4791330333528,6.04229607250755,54.9582660667056,248.366013071895,17.1744581458455,10.3046748875073,41.2186995500292,1,0"
"""29"",3301900,""Itaboraí"",42.7899015832264,1.14111829593001,70.7493343476607,60.5074278083792,7.98782807151008,60.5074278083792,120.296138413221,22.9510933066266,5.84209647805041,31.7142380237022,1,0"
"""30"",3302007,""Itaguaí"",49.146281528925,0.644329896907217,73.4536082474227,75.9135877246113,4.51030927835052,42.8023420149404,120.487657941881,15.3442358166768,6.46073087017969,20.997375328084,0,0"
"""31"",3302056,""Italva"",67.2404518558365,7.40740740740741,81.4814814814815,117.039586919105,7.40740740740741,20.6540447504303,94.1366325981711,13.7693631669535,6.88468158347676,20.6540447504303,1,0"
"""32"",3302106,""Itaocara"",82.2165584148647,0,133.858267716535,80.2805594287404,0,16.9011704060506,147.989805146757,33.8023408121012,8.45058520302531,0,1,0"
