""""",""code_muni"",""name_muni"",""TxMFAG23"",""TxMNDC23"",""TxMPADR23"",""TxMMVP23"",""TxMPMDPNN23"",""TxMCEPP23"",""TxFNM23"",""TxMAT23"",""TxMLAP23"",""TxMDAF23"",""PMDCv23"",""PMCMD23"""
"""36"",3302304,""Laje do Muriaé"",7.82268578878748,0,562.5,2.636783124588,0,7.91034937376401,0,1.318391562294,0,3.955174686882,1,0"
"""37"",3302403,""Macaé"",2.6865671641791,1.9163206643245,38.9651868412648,4.56199132838287,4.15202810603641,2.91354068031175,10.2238805970149,0.958401539576233,0.613376985328789,1.68678670965417,1,0"
"""38"",3302452,""Macuco"",0,0,49.5049504950495,10.7219442458899,0,0,13.9421401185082,3.57398141529664,0,1.78699070764832,0,0"
"""39"",3302502,""Magé"",5.03022124989021,0,80.3295571575695,6.96030985661762,10.2986611740474,4.91315989878891,14.1325263687392,1.59677696710639,0.327543993252594,1.59677696710639,0,0"
"""40"",3302601,""Mangaratiba"",4.11127860764698,0,75,6.93304984862841,4.16666666666667,3.9287282475561,10.0497921520259,2.77321993945136,0.462203323241894,0.231101661620947,1,0"
"""41"",3302700,""Maricá"",3.75304935259899,0.456412596987677,67.5490643541762,7.70987591463858,5.02053856686445,2.71542799509283,15.7628072809157,1.35771399754642,0.43640807063992,0.921305926906497,1,0"
"""42"",3302809,""Mendes"",13.6497270054599,0,220.689655172414,9.39486045869025,6.89655172413793,3.31583310306715,14.6997060058799,2.76319425255595,0,1.10527770102238,1,0"
"""43"",3302858,""Mesquita"",3.91741662255161,0.544959128065395,97.0027247956403,7.59925125024446,7.62942779291553,3.40848769312435,12.0698782424563,0.782275863995753,0.391137931997877,1.78805911770458,1,0"
"""44"",3302908,""Miguel Pereira"",12.2174709835064,0,119.402985074627,9.64457938917664,11.1940298507463,2.14323986426148,17.647458087287,0.357206644043579,0,3.21485979639221,1,0"
"""45"",3303005,""Miracema"",1.36733438162303,0,63.8977635782748,7.39462657135815,19.1693290734824,0.704250149653157,12.9896766254187,0.352125074826578,0.352125074826578,2.11275044895947,0,0"
"""46"",3303104,""Natividade"",2.51256281407035,0,118.881118881119,9.000900090009,0,1.92876430500193,6.28140703517588,3.85752861000386,1.28584287000129,0.642921435000643,0,0"
